name,code,pop
Aruba,ABW,8.42691090090777
Afghanistan,AFG,0.245101422350223
Angola,AGO,1.20286057885999
Albania,ALB,1.57716262398295
Andorra,AND,6.07237020841688
Arab World,ARB,4.71284470207848
United Arab Emirates,ARE,22.0408285243639
Argentina,ARG,4.61908548237078
Armenia,ARM,1.75597603116466
American Samoa,ASM,0
Antigua and Barbuda,ATG,5.89655865519904
Australia,AUS,15.5392204599852
Austria,AUT,7.03333570647299
Azerbaijan,AZE,3.85534718233965
Burundi,BDI,0.0472010959574935
Belgium,BEL,8.55051325420587
Benin,BEN,0.595647727336485
Burkina Faso,BFA,0.183287285069519
Bangladesh,BGD,0.533298791093343
Bulgaria,BGR,5.85150106161461
Bahrain,BHR,22.2289809656535
Bahamas, The,BHS,4.72527789464214
Bosnia and Herzegovina,BIH,6.451938373436
Belarus,BLR,6.13370756764118
Belize,BLZ,1.54284744842562
Bermuda,BMU,9.48646094742386
Bolivia,BOL,1.95851434392516
Brazil,BRA,2.24239344567735
Barbados,BRB,4.46512897311369
Brunei Darussalam,BRN,18.2563839923773
Bhutan,BTN,1.71227445300655
Botswana,BWA,2.93537378746856
Central African Republic,CAF,0.0654577982130544
Canada,CAN,15.0900564718629
Central Europe and the Baltics,CEB,6.37762331806433
Switzerland,CHE,4.11748982305503
Channel Islands,CHI,
Chile,CHL,4.71317192071555
China,CHN,7.17580989725568
Cote d'Ivoire,CIV,0.406063977429272
Cameroon,CMR,0.346522620760152
Congo, Dem. Rep.,COD,0.0256446171817591
Congo, Rep.,COG,0.658896940151966
Colombia,COL,2.030378008134
Comoros,COM,0.253503051815503
Cabo Verde,CPV,1.02178308788921
Costa Rica,CRI,1.63764666501338
Caribbean small states,CSS,8.49080685642596
Cuba,CUB,2.49521826389142
Curacao,CUW,33.7614615692955
Cayman Islands,CYM,8.73248733398328
Cyprus,CYP,5.66257273410147
Czech Republic,CZE,9.6738986622794
Germany,DEU,8.84012879430996
Djibouti,DJI,0.6670057000663
Dominica,DMA,2.51985078603784
Denmark,DNK,5.54914464185642
Dominican Republic,DOM,2.42920949286783
Algeria,DZA,3.69915598976548
East Asia & Pacific (excluding high income),EAP,5.56298627770382
Early-demographic dividend,EAR,2.34569263096484
East Asia & Pacific,EAS,6.0717886276003
Europe & Central Asia (excluding high income),ECA,7.58359717855516
Europe & Central Asia,ECS,6.88218186673209
Ecuador,ECU,2.49557055420449
Egypt, Arab Rep.,EGY,2.52586286634698
Euro area,EMU,6.54514043992154
Eritrea,ERI,0.210687333077057
Spain,ESP,5.24915787264891
Estonia,EST,12.6080210367916
Ethiopia,ETH,0.143524927791774
European Union,EUU,6.46846221503357
Fragile and conflict affected situations,FCS,0.988604312290028
Finland,FIN,8.34721998040872
Fiji,FJI,2.34547036390459
France,FRA,0
Faroe Islands,FRO,13.0928943599112
Micronesia, Fed. Sts.,FSM,1.29758199882049
Gabon,GAB,2.64997686606673
United Kingdom,GBR,5.77679598481933
Georgia,GEO,2.71716711312258
Ghana,GHA,0.585289432119561
Gibraltar,GIB,18.8040133977532
Guinea,GIN,0.255224607765205
Gambia, The,GMB,0.247408380751548
Guinea-Bissau,GNB,0.164583657094192
